pH,CEC,LIME_INDEX,TEMPERATURE,PHOSPHORUS,POTASSIUM,CALCIUM,MAGNESIUM
6.2,6.5,,25,41,113.5,926.5,185.5
6.3,7.3,,25,37.5,118,1052.5,207.5
6.6,7.3,,25,46.5,113.5,1052.5,207.5
6.4,6.7,,25,20,80,968.5,203.5
6,3.8,,25,43.5,40,631.5,70.5
6.4,,,25,41,126.5,716,112
6.3,,,25,24,109.5,800,172
6.8,,,25,,105.5,926.5,172
6.8,,,25,,139,758,152
6.3,,,25,25,92.5,716,144
5.9,,,25,49,75.5,842,92
6.3,5.4,,25,32.5,58,800,152
5.9,5.5,,25,19.5,66.5,800,164
6.6,5.9,,25,32.5,53.5,884,164
6.3,5.8,,25,26.5,58,842,168
6.1,5.5,,25,15.5,49,842,140
6,3.9,,25,30.5,31,589.5,100
6.4,,,25,33.5,80,631.5,128
6.2,,,25,53.5,126.5,800,152
6.5,,,25,43.5,97,800,152
6.6,,,25,64,126.5,758,108
6.2,,,25,40,88.5,716,144
6.1,,,25,42.5,71,800,92
5.4,,,25,30.5,88.5,589.5,88
5.8,,,25,25,101,716,84
5.5,,,25,22.5,75.5,589.5,84
5.9,,,25,21.5,71,716,88
4.4,,,25,96.5,28,294.5,10
4.8,,,25,52,37.5,294.5,15
5.3,,,25,17.5,33,673.5,35
5.1,,,25,45,37.5,379,45
5,,,25,90.5,37.5,421,50
5.3,,,25,43.5,66,547.5,65
5.3,,,25,72.5,42.5,379,35
4.8,,,25,10,37.5,294.5,25
5.1,,,25,14,37.5,337,25
6.6,5.4,,25,23,89,800,140
6.6,6.5,,25,33,120,914.5,196
6.4,7.1,,25,77.5,172.5,990.5,204
6.9,7,,25,33,120,990.5,204
6.8,6.4,,25,29.5,62,914.5,196
6,4.5,,25,52,53.5,685.5,108
6.3,6.1,,25,39,185.5,838,172
6.9,6.5,,25,34,89,952.5,184
6.5,6.4,,25,31,142,876,200
6.9,6.7,,25,35,80,952.5,204
6.1,6.8,,25,41,244,914.5,192
6.3,6.5,,25,40,124.5,914.5,192
6.8,6.7,,25,35,89,952.5,204
6.3,6.8,,25,39,214.5,914.5,196
6.3,6.4,,25,22,75.5,914.5,196
6.4,6,,25,23.5,102,838,188
6,4.7,,25,38,80,724,104
6.4,5.3,,25,40,40,876,104
6.8,6.2,,25,25,102,876,184
6.7,6.1,,25,63.5,120,838,192
6.9,6.9,,25,47.5,142,990.5,192
6.7,6.2,,25,27.5,132,884,173.5
6.5,6.5,,25,23,116,884,213.5
6.1,5,,25,49,92,800,88
6.6,6.5,,25,31,108,926.5,191
6.6,5.7,,25,41,100,763.5,191
6.3,6.3,,25,35,124,884,191
7,6.9,,25,40,124,968.5,204.5
6.6,6.7,,25,24.5,104,926.5,222
6.2,4.7,,25,43.5,49,727.5,108
6.3,6.3,,25,40,144,884,182
6.4,6.1,,25,29.5,112,842,195.5
6.3,7.4,,25,47.5,,968.5,200
6.5,5.7,,25,36,116,800,173.5
6.2,6,,25,26,80,884,169
5.8,5.8,,25,41,62,691,116
6.5,,,25,32.5,101,727.5,120
6.5,,,25,39,126.5,727.5,164
6.4,,,25,97,177,914.5,172
6.8,,,25,42.5,122,876,164
6.6,,,25,36.5,80,838,168
6.1,,,25,77,66.5,654.5,56
6.3,,,25,53,181,838,152
6.7,,,25,42.5,105.5,876,172
6.5,,,25,41.5,134.5,838,180
6.8,,,25,44,80,914.5,180
6.2,,,25,45.5,206.5,838,172
6.4,,,25,48.5,118,838,172
6.1,,,25,47,177,800,164
6.2,,,25,47,109.5,763.5,164
6.1,,,25,27,151.5,800,156
6.5,,,25,27,80,914.5,168
5.8,,,25,42.5,122,691,92
6.3,,,25,41.5,58,838,80
6.4,,,25,32.5,177,838,160
6.4,,,25,51.5,248,914.5,160
6.7,,,25,31.5,80,876,172
6.8,,,25,23,109.5,1066.5,180
6.4,,,25,94,252,800,164
6.3,,,25,89,198,727.5,164
6.6,,,25,77,88.5,727.5,144
6.6,,,25,80,80,727.5,168
6.6,,,25,80,240,838,156
6.7,,,25,77,231.5,914.5,168
6.9,,,25,62.5,113.5,990.5,180
7,,,25,58,126.5,952.5,160
6.4,,,25,42.5,272,800,168
6.5,,,25,40,223,876,184
6.7,,,25,34.5,101,914.5,188
6.4,,,25,31,118,952.5,188
6.3,,,25,30,147.5,838,184
6.1,,,25,30,189.5,876,188
6.2,,,25,29,101,876,192
6.3,,,25,28,97,838,200
6,,,25,54.5,122,763.5,76
6,,,25,68,172.5,800,76
6.1,,,25,62.5,88.5,800,56
6.1,,,25,56.5,92.5,926.5,72
6.6,,,25,62.5,228,968.5,180
6.6,,,25,42.5,192,1010.5,204
6.8,,,25,29,88.5,968.5,180
6.8,,,25,36.5,92.5,926.5,204
6.7,,,25,73.5,248.5,926.5,200
6.6,,,25,62.5,156,800,180
6.6,,,25,40,88.5,842,176
6.7,,,25,50,84,800,200
6.5,,,25,58,257,926.5,184
6.3,,,25,50,192,842,176
6.4,,,25,40,101,800,160
6.5,,,25,41.5,118,926.5,188
6.6,,,25,58,184,884,184
6.8,,,25,65,236,968.5,184
6.8,,,25,47,101,926.5,192
6.7,,,25,39,122,1010.5,176
6.4,,,25,36.5,196,926.5,200
6.3,,,25,30,143,926.5,200
6.5,,,25,26.5,84,968.5,204
6.1,,,25,30,88.5,926.5,192
6.1,,,25,86.5,118,762,132
6.1,,,25,70.5,97,647.5,80
6.3,,,25,54.5,49,724,88
6.4,,,25,58,40,762,92
6.3,,,25,50,118,876,168
6.4,,,25,32.5,101,876,196
6.3,,,25,60,130.5,990.5,184
6.5,,,25,41.5,122,838,180
6.1,,,25,29,84,876,152
5.9,,,25,56.5,58,618,64
6.8,,,25,34,97,762,152.5
6.6,,,25,40,118,876,217
6.6,,,25,100,172.5,842,176
6.8,,,25,42.5,120,842,184
6.8,,,25,39,75.5,763.5,148
6,,,25,77.5,53.5,545.5,84
6,,,25,58.5,172.5,800,171.5
6.7,,,25,47.5,101,914.5,190.5
6.2,,,25,47.5,122,800,198
6.8,,,25,43.5,71,838,183
6.1,,,25,60,172.5,800,196
6.6,,,25,58.5,129,926.5,232
6,,,25,50.5,164,760,184
6.3,,,25,50.5,111,760,188
6.3,,,25,29.5,134.5,763.5,192
6.7,,,25,31,80,880,212
5.8,,,25,50.5,80,654.5,124
6.4,,,25,50.5,49,800,112
7,,,25,31,84,876,205.5
6.3,,,25,47.5,214.5,800,198
6.7,,,25,75,97,724,183
6.3,,,25,103.5,210.5,762,190.5
7,,,25,69,115.5,884.5,196
6.5,,,25,83.5,223,884,212
6.7,,,25,36,115.5,847,196
6.4,,,25,49,223,842,200
6.4,,,25,30,97,840,220
6.2,,,25,39,224,880,224
5.9,,,25,55,62,763.5,92
5.8,,,25,67,143,763.5,116
6.8,,,25,39,101,876,217
6.4,,,25,55,189.5,914.5,221
6.5,,,25,42.5,105.5,763.5,204
6.2,,,25,60,212,800,172
6.6,,,25,45,106.5,842,212
6.4,,,25,61.5,324,1263,285.5
6.9,,,25,49,109.5,842,212
6.5,,,25,69,236,920,220
6.7,,,25,25,97,880,228
6.5,,,25,38,212,1160,240
6.4,,,25,55,40,654.5,112
6.1,,,25,71,105.5,618,119
6.5,,,25,47.5,101,800,209.5
6.6,,,25,36,97,800,220
6.5,,,25,62.5,111,842,200
6.8,,,25,42.5,97,763.5,204
6.3,,,25,32,75.5,840,196
5.9,,,25,56.5,53.5,618,108
