pH,CEC,LIME_INDEX,TEMPERATURE,PHOSPHORUS,POTASSIUM,CALCIUM,MAGNESIUM
6.3,6.6,69,25,51,168,765,139
6.1,7.4,69,25,32,121,898,171
5.9,7.8,68,25,49,100,860,103
5.5,8.8,66,25,37,93,598,90
5.7,6.9,68,25,44,109,685,95
5.4,7.2,67,25,27,97,527,91
5.5,8.5,67,25,30,114,751,103
6.2,6.3,69,25,31,110,776,113
5.9,7.6,68,25,31,113,733,153
6,10.5,67,25,81,205,966,189
6,7.1,69,25,37,122,823,171
6,7.1,69,25,34,101,852,171
6.3,3.7,70,25,74,72,490,124
6.2,8.8,68,25,55,139,904,179
6,9.2,68,25,33,104,983,194
6.1,9.3,68,25,46,148,968,204
5.8,10.5,66,25,46,129,791,174
6.2,7.7,69,25,30,102,903,206
6.6,6.2,70,25,45,77,896,179
6.1,7.3,69,25,29,96,858,186
5.9,8.6,67,25,64,100,696,146
6.1,8.6,68,25,56,135,881,172
5.9,8.5,68,25,28,125,857,179
5.7,9.1,67,25,33,109,766,166
6.1,6.5,69,25,63,111,758,147
5.8,8.3,68,25,25,100,914,131
5.7,8.8,67,25,34,86,770,139
5.9,9.6,67,25,28,95,870,167
5.9,8.3,68,25,35,105,863,157
5.7,9.1,67,25,18,89,783,161
6,6.1,69,25,43,45,725,142
6.1,8.3,68,25,59,132,852,157
5.8,8.7,68,25,34,125,885,183
6.1,7.9,69,25,59,133,945,193
6.2,6.4,70,25,63,168,900,173
5.6,9.2,67,25,37,113,806,157
5.8,9.9,67,25,70,125,996,125
6.3,7.8,69,25,41,89,924,205
6.6,7.5,70,25,28,87,1010,263
6.5,7.2,70,25,46,95,979,248
6.7,6.5,70,25,31,80,853,241
6.4,8.4,69,25,33,75,995,241
6.8,5.9,,25,49,55,800,210
5.9,6.3,,25,24,81,736,141
6.1,5.7,,25,28,94,644,120
6.1,6.9,,25,29,123,800,162
6,8.5,,25,69,169,878,108
6.1,6.6,,25,29,115,761,155
6.1,6.4,,25,32,84,746,154
6.5,3.9,,25,47,59,554,115
6.3,7.3,,25,36,124,857,183
6.2,7.1,,25,31,101,824,128
6.2,7,,25,38,126,807,171
6.1,6.6,,25,36,151,718,165
6.2,6.9,,25,22,101,796,173
6.5,5.3,,25,36,74,764,157
6.3,6.8,,25,18,88,788,171
5.9,6.1,,25,51,101,694,137
6.4,5.7,,25,34,108,810,160
6.2,7.1,,25,20,120,827,173
6,6.9,,25,18,104,785,176
6.3,6.8,,25,34,81,831,145
6.1,7.2,,25,18,86,905,149
5.9,7.3,,25,21,99,882,171
6,7.2,,25,22,110,873,168
5.9,7.1,,25,14,78,870,167
6.3,6.3,,25,35,35,758,145
6.3,7.8,,25,35,83,903,225
6.4,7.1,,25,21,89,954,256
6.5,7.2,,25,36,90,984,247
6.5,6.7,,25,21,91,897,232
6.6,7,,25,20,71,945,246
6.8,5.8,,25,35,57,793,207
